I;32;A7;A7;A7;A7;A7;A7;A7;A7
A1;32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
A'2;32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
C;32;E7,(E7,Eb7);(D7,N),(D7,C6);A7;A7;E7;(D7,N),(D7,C6);A7;(A7,N),N
(3/2)X;48;A7;A7;A7;A7;D7;D7;A7;A7;E7,(E7,Eb);D7;A;(A,N),N
A1;32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
A'2;32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
C;32;E7,(E7,Eb7);(D7,N),(D7,C6);A7;A7;E7,(E7,Eb7);(D7,N),(D7,C6);A7;(A,N),N
M/A;32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
M'/A';32;A7;A7;E7;E7,(E7,E6);D7;D7;A7;A7
C*;32;E7,(E7,Eb7);(D7,N),(D7,C6);A7;A7;E7,(E7,Eb7);(D7,N),(D7,C6);(A,A7),(Bb7*,Dm);(A7,Bb7),A7
