I;32;Fm;Ab6,(C#,Fm);Eb;Bbm6,(C,Cm);Fm;Ab6,(C#,Fm);Eb;C9d*,C
A1;32;Fm;Eb,Fm;Eb6;Fm;Fm;Eb,Fm;C#M7,C#;Fm,C
A2;32;Fm;Eb,Fm;Eb6;Fm;Fm;Eb,Fm;C#M7,C#;Fm,C
C2;32;C#,Eb;Fm;C#,Eb;Fs2,Fm;C#,Eb;Fm;C#,Eb;Fm,(F+7,F7)
D_;28;Bbm7;Eb;Cm7;Fm7;Bbm7;Eb;C,(C,N);[Fm]
|I;16;Fm;Ab6,(C#,Fm);Eb;C9d*,C
A2;32;Fm;Eb,Fm;Eb6;Fm;Fm;Eb,Fm;C#M7,C#;Fm,C
C1;32;C#,Eb;Fm;C#,Eb;Fs2,Fm;C#,Eb;Fm;C#,Eb;Fs2s4,F
C2+;32;C#,Eb;Fm;C#,Eb;Fs2,Fm;C#,Eb;Fm;C#,Eb;Fm,(F+7,F7)
D_;28;Bbm7;Eb;Cm7;Fm7;Bbm7;Eb;C,(C,N);[Fm]
I;32;Fm;Ab6,(C#,Fm);Eb;Bbm6,(C,Cm);Fm;Ab6,(C#,Fm);Eb;C9d*,C
C1-;32;C#,Eb;Fm;C#,Eb;Fs2,Fm;C#,Eb;Fm;C#,Eb;Fs2s4,F
C2+;32;C#,Eb;Fm;C#,Eb;Fs2,Fm;C#,Eb;Fm;C#,Eb;Fm,(F+7,F7)
D_;28;Bbm7;Eb;Cm7;Fm7;Bbm7;Eb;C,(C,N);[Fm]
I*;36;Fm;Ab6,(C#,Fm);Eb;Bbm6,(C,Cm);Fm;Ab6,(C#,Fm);Eb;C9d*,C;(Fm,N),N
