H/4;8;(Ab7,N),(Ab7,N);(Ab,Bb),(B,C)
I;32;(C#7,Ebm7),(C#,N);(C#7,Ebm7),(C#,N);(C#,B),(C#,N);(C#7,N),(C#7,N);(C#7,Ebm7),(C#,N);(C#7,Ebm7),(C#,N);Ab,Bbm7;Bm6,(Ab7,N)
J;32;(C#7,Ebm7),(C#,N);(F#7,Abm7),(F#,N);(B6,Em6),(C#,N);(C#,N),(C#7,N);Ab,(Bbm7,Bm6);(Ab,C#m7),Bb7;(Ab7,N),N;(N,Ab7),Ab7
A;32;C#;C#7;(C#7,F#6),(C#,N);(C#,F#6),(C#,N);F#;C#,(C#,N);Ab7;(C#,Ab),(Ab,C#)
B;32;F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2);F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2)
C;32;C#;C#6;Eb7;Ab;C#;Fm;Ab7;C#
H/4;8;(Ab7,N),(Ab7,N);(Ab,Bb),(B,C)
A;32;C#;C#7;(C#7,F#6),(C#,N);(C#,F#6),(C#,N);F#;C#,(C#,N);Ab7;(C#,Ab),(Ab,C#)
B;32;F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2);F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2)
C;32;C#;C#6;Eb7;Ab;C#;Fm;Ab7;C#
H/4;8;(Ab7,N),(Ab7,N);(Ab,Bb),(B,C)
I;32;(C#7,Ebm7),(C#,N);(C#7,Ebm7),(C#,N);(C#,B),(C#,N);(C#7,N),(C#7,N);(C#7,Ebm7),(C#,N);(C#7,Ebm7),(C#,N);Ab,Bbm7;Bm6,(Ab7,N)
J;32;(C#7,Ebm7),(C#,N);(F#7,Abm7),(F#,N);(B6,Em6),(C#,N);(C#,N),(C#7,N);Ab,(Bbm7,Bm6);(Ab,C#m7),Bb7;(Ab7,N),N;(N,Ab7),Ab7
A;32;C#;C#7;(C#7,F#6),(C#,N);(C#,F#6),(C#,N);F#;C#,(C#,N);Ab7;(C#,Ab),(Ab,C#)
B;32;F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2);F#7;C#;F#7;(C#m7,Ab6s2),(EbM7,Ab6s2)
C;32;C#;C#6;Eb7;Ab;C#;Fm;Ab7;C#
(3/4)K/|C*;24;C#;Fm;Ab7;C#,B;C#,N;(N,Ab7),B
L;36;C#;C#6;(C#7,Ebm7),(C#,N);(C#7,Ebm7),(C#,N);C#;C#6;(C#6,C6),B6;B6;(C#,N),N
