I;32;Bb;Gm,EbM7;Bb,Ab6;Gm,(Ebm6,Ab);Bb;Gm,EbM7;Bb,Ab6;Gm,(Ebm6,Ab)
A;32;Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9);Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9)
B;32;EbM7;Bb;Eb6,(Ebm6,D9d*);(Gm7,D7),(Gm7,G7);EbM7;Bb;Eb6,(AbM7,Gm7);(AbM7,Gm7),(Fm7,F7)
C;36;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;Bb
A;32;Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9);Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9)
B;32;EbM7;Bb;Eb6,(Ebm6,D9d*);(Gm7,D7),(Gm7,G7);EbM7;Bb;Eb6,(AbM7,Gm7);(AbM7,Gm7),(Fm7,F7)
C_;32;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;[Bb]
J/2;16;Bbm,Ebm7;F#,Fm7;Bbm,Ebm7;F#,(Fm7,F+)
X/A;32;Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9);Bb,Fs4;Gm7,EbM7;Bb,Fs2;Gm7,(EbM7,Ab&9)
B'|B*;36;EbM7;Bb;Eb6,(Ebm6,D9d*);(Gm7,D7),(Gm7,G7);EbM7;Bb;Eb6,(AbM7,Gm7);(AbM7,Gm7),(Fm7,F7);(Ebm7,Fm7),(F#M7,Ab6)
C_;32;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;Bb,F;Gm7,(Bb7,Bb9*);Eb,Bb;Cm7,F;[Bb]
I*~;40;Bb;Gm,EbM7;Bb,Ab6;Gm,(Ebm6,Ab);Bb;Gm,EbM7;Bb,Ab6;Gm,EbM7;Ebm;(Ebm6,N),N
