I-;32;A;D7;A;D7;A;D7;A;D7
I|I+;32;A;D7;A;D7;A;D7;A;D7
C1;32;A;D7;A;D7;A;D7;A;D7
J|;16;A;D7;A;D7
D;32;A;D7;A;D7;A;D7;A;D7
J|J+;32;A;D7;A;D7;A;D7;A;D7
E;32;Am7;D6;Am7;D6;Am7;D6;Am7;D6
K;32;Am7;D6;Am7;D6;Am7;D6;Am7;D6
F0;32;A;D7;A;D7;A;D7;A;D7
J-|;16;A;D7;A;D7
L-;32;A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+)
J+?X/J;32;A;D7;A;D7;A;D7;A;D7
(1/2)Y-;16;Am7;D6;Am7;D6
Y;32;Am7;D6;Am7;D6;Am7;D6;Am7;D6
E*~;32;Am7;D6;Am7;D6;Am7;D6;Am7;D6
E;32;Am7;D6;Am7;D6;Am7;D6;Am7;D6
C2;32;A;D7;A;D7;A;D7;A;D7
L;32;A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+);A,(A,Ab+)
