I0;32;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,Cs4;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,Cs4
A;32;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,G;Am;C;FM7;Dm7,G7
A;32;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,G;Am;C;FM7;Dm7,G7
(5/4)B1;40;FM7;Em;Dm7;C;FM7;E7;Am;Am;G7s4;G7s4
C1;32;C;C;Dm6;E7;Am;C;FM7;G7s4,G7
C2;32;C;C;Dm6;E7;Am,(Am,E+);E+;C,(C,Am);Am
D;32;FM7;G7;Em7;Eb6;Dm7;G7s4,G7;C;C,Dm7
J/A;32;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,G;Am;C;FM7;Dm7,G7
J/A;32;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,G;Am;C;FM7;Dm7,G7
(6/4)B2;48;FM7;Em;Dm7;C;FM7;E7;Am;Am;G7s2;G7s2;N;N
C1;32;C;C;Dm6;E7;Am;C;FM7;G7s4,G7
C2;32;C;C;Dm6;E7;Am,(Am,E+);E+;C,(C,Am);Am
(5/4)D|C;40;FM7;G7;Em7;Eb6;Dm7;G7s4,G7;Am,(Am,E+);E+;C,(C,Am6);Am6
D*_;28;FM7;G7;Em7;Eb6;Dm7;G7s4,G7;(G7,Cs4),Cs4;[C]
(5/4)I*;40;C,(C,Cs4);Cs4;CM7,(CM7,C&9);C&9,Cs4;C;Cs4;CM7;C&9,Cs4;C&9;C&9
