H;8;A&9;A&9
I;32;C#m7;F#m7;Abm7;AM7,(AM7,B);C#m7;Abm7;F#m7;D6,Ab7
A;32;C#m7;C#m7;F#m7;F#m7;Abm7;Abm7;AM7;Ab7
B;32;C#m7;C#m7;F#m7;F#m7;Abm7;C#m7;DM7;Ab7
P;36;AM7;B6;Ab7d9*;C#m7;F#9*;F#9*;F#m7;Abm7,F#m7;Em6,D6
C1;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
C2;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
J;8;E;D6,Ab7
A;32;C#m7;C#m7;F#m7;F#m7;Abm7;Abm7;AM7;Ab7
B;32;C#m7;C#m7;F#m7;F#m7;Abm7;C#m7;DM7;Ab7
P;36;AM7;B6;Ab7d9*;C#m7;F#9*;F#9*;F#m7;Abm7,F#m7;Em6,D6
C1;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
C2;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
I;32;C#m7;F#m7;Abm7;AM7,(AM7,B);C#m7;Abm7;F#m7;D6,Ab7
X/A;32;C#m7;C#m7;F#m7;F#m7;Abm7;Abm7;AM7;Ab7
Y/B;36;C#m7;C#m7;F#m7;F#m7;Abm7;C#m7;DM7;Abm7,F#m7;Em6,D6
C1;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
C2;32;E;Abm;Bm6;C#m7;F#m7;Abm7;Am7;B7s4
I;32;C#m7;F#m7;Abm7;AM7,(AM7,B);C#m7;Abm7;F#m7;D6,Ab7
K;24;AM7;AM7;A;A;A;A
