I-|I;32;AM7;Abm7;F#m7;F#m7,(F#m7,Abm7);AM7;Abm7;F#m7;A&9,(B7,N)
A0;32;E;B;F#m7;B6,(F#m7,B);E;B;F#m7;B6,(F#m7,B)
(5/8)B<A0;20;AM7;B,Ab7;C#m7,B;AM7;(Bs4,B),N
C1;32;E;B;AM7;F#m7,B;Abm7;A,(B,Ab7*);C#m7;F#m7,B6
C'2;28;E;B;AM7;F#m7,B;Abm7;A,B;F#m7,B;[E]
(3/4)J;24;E;E;C#m7;AM7,(Bs4,B);E;A&9,(B7,N)
A0;32;E;B;F#m7;B6,(F#m7,B);E;B;F#m7;B6,(F#m7,B)
(5/8)B<A0;20;AM7;B,Ab7;C#m7,B;AM7;(Bs4,B),N
C1;32;E;B;AM7;F#m7,B;Abm7;A,(B,Ab7*);C#m7;F#m7,B6
C'3;28;E;B;AM7;F#m7,B;Abm7;A,B;F#m7,B;[AM7,B]
(5/4)D;40;AM7,B;C#m7;AM7,B6;E;AM7,B6;C#m7;AM7,B6;C#m7;F#m7;(Bs4,B),N
C1;32;E;B;AM7;F#m7,B;Abm7;A,(B,Ab7*);C#m7;F#m7,B6
(5/4)C'*;40;E;B;AM7;F#m7,B;Abm7;A,B;F#m7,B;E;F#m7;(Bs4,B),N
I-|I;32;AM7;Abm7;F#m7;F#m7,(F#m7,Abm7);AM7;Abm7;F#m7;A&9,(B7,N)
L/4;8;E;E
