-;4;N
C;32;BbM7;Am7,F6;Gm7;F6,FM7;BbM7;Am7,F;Gm7;FM7,(FM7,Ab7)
A;32;Gm7;F6;Gm7;F6;Gm7;F6;Gm7;F6
B;32;Bb6;Am7,(FM7,F6);Gm7;F,(F9d*,D7);Bb6;Am7,(FM7,F6);Bbm6,(C6,C7);Fs2,F
C';32;BbM7;Am7,F6;Gm7;F6,FM7;BbM7;Am7,F;Gm7;FM7,(FM7,Ab7)
A;32;Gm7;F6;Gm7;F6;Gm7;F6;Gm7;F6
B;32;Bb6;Am7,(FM7,F6);Gm7;F,(F9d*,D7);Bb6;Am7,(FM7,F6);Bbm6,(C6,C7);Fs2,F
X/C*;32;BbM7;Am7,(FM7,F6);Dm7,Gm7;Fs2,(F,Am7);Bb6;Am7,F;Gm7,(Gm7,Ab7);C#M7,C#7
B;32;Bb6;Am7,(FM7,F6);Gm7;F,(F9d*,D7);Bb6;Am7,(FM7,F6);Bbm6,(C6,C7);Fs2,F
C'[C;32;BbM7;Am7,F6;Gm7;F6,FM7;BbM7;Am7,F;Gm7;FM7,(FM7,Ab7)
C~;32;BbM7;Am7,F6;Gm7;F6,FM7;BbM7;Am7,F;Gm7;FM7,(FM7,Ab7)
C~|;16;BbM7;Am7,F6;Gm7;F6,FM7
