I/B;32;GM7;F#7;Bm7;F#7,F#+7;GM7;F#m7,Bm7;CM7;C#7s4,C#+7
C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
J/2;16;F#m7;Bm,F#s4;F#m7;Bm7,C#m7
A;32;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,(F#+7,F#7)
B;32;GM7;F#,(F#,F#+);Bm7;F#7,(F#+7,F#7);GM7;F#m7,Bm7;CM7;C#7s4,C#+7
C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
J/2;16;F#m7;Bm,F#s4;F#m7;Bm7,C#m7
A;32;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,F#7;Bm7,C#m7;F#7s4,(F#+7,F#7)
B;32;GM7;F#,(F#,F#+);Bm7;F#7,(F#+7,F#7);GM7;F#m7,Bm7;CM7;C#7s4,C#+7
C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
X/B;32;GM7;F#7;Bm7;F#7,F#+7;GM7;F#m7,Bm7;CM7;C#7s4,C#+7
C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
L/C;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7;D&9,C#7
L/C>;32;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;DM7,C#m7;F#7s4,F#7;N;N
